Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Number_of_vehicles_involved
31-50,male,elementary school,employee,5-10yr,lorry,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - no lighting,raining,rollover,going straight,crossing from offside - masked by  parked or stationot a pedestrianry vehicle,no distancing,Slight Injury,2
under 18,male,elementary school,employee,2-5yr,other,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - no lighting,raining,vehicle with vehicle collision,going straight,"in carriageway, stationot a pedestrianry - not crossing  (standing or playing) - masked by parked or stationot a pedestrianry vehicle",moving backward,Slight Injury,2
over 51,male,junior high school,employee,above 10yr,bus,office areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,3
31-50,male,junior high school,employee,above 10yr,car,other,double carriageway (median),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,other,not a pedestrian,getting off the vehicle improperly,Serious Injury,2
under 18,male,elementary school,employee,5-10yr,car,church areas,unknown,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,overloading,Slight Injury,2
over 51,male,elementary school,owner,5-10yr,bus,school areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,elementary school,employee,above 10yr,lorry,office areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,other,Slight Injury,2
31-50,male,elementary school,employee,2-5yr,lorry,other,other,no junction,asphalt roads,daylight,normal,collision with roadside objects,other,not a pedestrian,changing lane to the left,Serious Injury,1
18-30,male,junior high school,employee,above 10yr,lorry,church areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,raining,rollover,going straight,crossing from driver's nearside,changing lane to the right,Slight Injury,1
18-30,male,junior high school,employee,below 1yr,other,other,double carriageway (median),crossing,earth roads,darkness - lights lit,normal,vehicle with vehicle collision,reversing,unknown or other,no priority to pedestrian,Slight Injury,2
31-50,male,junior high school,employee,2-5yr,lorry,other,double carriageway (median),crossing,asphalt roads,darkness - lights lit,normal,collision with pedestrians,going straight,not a pedestrian,overspeed,Slight Injury,2
18-30,male,elementary school,employee,5-10yr,other,office areas,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,other,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,elementary school,employee,5-10yr,other,other,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,other,not a pedestrian,no priority to vehicle,Slight Injury,2
18-30,male,elementary school,employee,1-2yr,lorry,other,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,collision with pedestrians,other,not a pedestrian,changing lane to the right,Slight Injury,2
over 51,male,junior high school,employee,1-2yr,other,residential areas,unknown,crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,other,not a pedestrian,no priority to pedestrian,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,other,residential areas,undivided two way,no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Serious Injury,2
18-30,male,junior high school,owner,below 1yr,car,residential areas,other,no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Serious Injury,2
over 51,male,junior high school,employee,below 1yr,other,residential areas,other,no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,junior high school,employee,2-5yr,lorry,office areas,undivided two way,no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,car,office areas,double carriageway (median),no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving at high speed,Slight Injury,1
31-50,male,elementary school,employee,5-10yr,lorry,office areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,reversing,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,unknown,owner,5-10yr,other,office areas,one way,y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,junior high school,employee,5-10yr,car,office areas,undivided two way,y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,other,not a pedestrian,getting off the vehicle improperly,Slight Injury,2
18-30,male,illiterate,employee,2-5yr,lorry,residential areas,other,crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,getting off,not a pedestrian,other,Slight Injury,2
under 18,male,junior high school,employee,5-10yr,lorry,residential areas,one way,crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,no distancing,Slight Injury,2
under 18,male,elementary school,employee,2-5yr,other,recreational areas,other,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,car,office areas,double carriageway (median),crossing,asphalt roads,darkness - lights lit,normal,collision with pedestrians,entering a junction,unknown or other,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,below 1yr,car,industrial areas,other,no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,entering a junction,unknown or other,driving to the left,Slight Injury,2
over 51,male,junior high school,employee,5-10yr,lorry,residential areas,two-way (divided with solid lines road marking),no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,turnover,not a pedestrian,driving at high speed,Slight Injury,2
over 51,male,elementary school,employee,1-2yr,other,residential areas,other,no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,entering a junction,not a pedestrian,no distancing,Slight Injury,2
31-50,male,above high school,employee,1-2yr,other,rural village areas,undivided two way,no junction,asphalt roads,darkness - lights lit,normal,collision with pedestrians,entering a junction,not a pedestrian,no priority to vehicle,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,lorry,office areas,double carriageway (median),no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,other,not a pedestrian,changing lane to the left,Slight Injury,2
under 18,male,junior high school,employee,2-5yr,lorry,outside rural areas,other,crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,other,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,car,church areas,other,o shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to pedestrian,Serious Injury,2
31-50,male,junior high school,employee,2-5yr,lorry,office areas,undivided two way,o shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Serious Injury,2
31-50,male,junior high school,employee,above 10yr,car,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Serious Injury,1
31-50,male,junior high school,employee,1-2yr,other,office areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,cloudy,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,1
18-30,male,junior high school,employee,5-10yr,car,other,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,raining,collision with roadside objects,going straight,not a pedestrian,driving carelessly,Slight Injury,1
under 18,male,junior high school,owner,5-10yr,bus,other,undivided two way,no junction,asphalt roads,daylight,raining,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Serious Injury,2
18-30,male,elementary school,employee,2-5yr,lorry,other,double carriageway (median),y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Slight Injury,2
18-30,male,junior high school,employee,below 1yr,lorry,church areas,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Fatal injury,1
31-50,male,junior high school,employee,2-5yr,lorry,industrial areas,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,cloudy,collision with roadside objects,going straight,not a pedestrian,moving backward,Slight Injury,2
18-30,male,elementary school,employee,5-10yr,lorry,residential areas,double carriageway (median),y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,other,industrial areas,unknown,no junction,asphalt roads,daylight,raining,collision with roadside objects,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,bus,industrial areas,double carriageway (median),no junction,asphalt roads,daylight,raining,collision with roadside objects,moving backward,not a pedestrian,driving carelessly,Slight Injury,2
